,temporal_frequency,orientation,blank_sweep,start,end
0,15.0,90.0,0.0,744,804
1,4.0,0.0,0.0,835,894
2,2.0,225.0,0.0,925,985
3,4.0,90.0,0.0,1015,1075
4,1.0,225.0,0.0,1106,1165
5,1.0,0.0,0.0,1196,1256
6,2.0,0.0,0.0,1286,1346
7,8.0,45.0,0.0,1377,1436
8,4.0,135.0,0.0,1467,1527
9,8.0,180.0,0.0,1557,1617
10,1.0,180.0,0.0,1648,1707
11,2.0,270.0,0.0,1738,1798
12,15.0,270.0,0.0,1828,1888
13,2.0,225.0,0.0,1918,1978
14,1.0,45.0,0.0,2009,2068
15,8.0,135.0,0.0,2099,2159
16,8.0,225.0,0.0,2189,2249
17,2.0,315.0,0.0,2280,2339
18,4.0,90.0,0.0,2370,2430
19,4.0,90.0,0.0,2460,2520
20,8.0,0.0,0.0,2551,2610
21,8.0,180.0,0.0,2641,2701
22,,,1.0,2731,2791
23,8.0,135.0,0.0,2822,2881
24,8.0,225.0,0.0,2912,2972
25,2.0,315.0,0.0,3002,3062
26,,,1.0,3093,3152
27,,,1.0,3183,3243
28,4.0,270.0,0.0,3273,3333
29,4.0,45.0,0.0,3364,3423
30,1.0,135.0,0.0,3454,3514
31,15.0,180.0,0.0,3544,3604
32,8.0,135.0,0.0,3635,3694
33,2.0,45.0,0.0,3725,3785
34,4.0,45.0,0.0,3815,3875
35,2.0,225.0,0.0,3905,3965
36,2.0,315.0,0.0,3996,4056
37,4.0,315.0,0.0,4086,4146
38,8.0,180.0,0.0,4176,4236
39,2.0,270.0,0.0,4267,4326
40,8.0,225.0,0.0,4357,4417
41,8.0,45.0,0.0,4447,4507
42,8.0,315.0,0.0,4538,4597
43,2.0,315.0,0.0,4628,4688
44,4.0,225.0,0.0,4718,4778
45,4.0,180.0,0.0,4809,4868
46,15.0,180.0,0.0,4899,4959
47,8.0,90.0,0.0,4989,5049
48,8.0,90.0,0.0,5080,5139
49,2.0,315.0,0.0,5170,5230
50,2.0,270.0,0.0,5260,5320
51,15.0,90.0,0.0,5351,5410
52,15.0,45.0,0.0,5441,5501
53,8.0,270.0,0.0,5531,5591
54,4.0,0.0,0.0,5622,5681
55,2.0,45.0,0.0,5712,5772
56,1.0,90.0,0.0,5802,5862
57,4.0,225.0,0.0,5892,5952
58,2.0,90.0,0.0,5983,6043
59,2.0,225.0,0.0,6073,6133
60,4.0,45.0,0.0,6163,6223
61,8.0,90.0,0.0,6254,6313
62,2.0,225.0,0.0,6344,6404
63,2.0,135.0,0.0,6434,6494
64,15.0,45.0,0.0,6525,6584
65,1.0,225.0,0.0,6615,6675
66,2.0,90.0,0.0,6705,6765
67,15.0,180.0,0.0,6796,6855
68,,,1.0,6886,6946
69,4.0,180.0,0.0,6976,7036
70,,,1.0,7067,7126
71,1.0,315.0,0.0,7157,7217
72,4.0,90.0,0.0,7247,7307
73,2.0,315.0,0.0,7338,7397
74,8.0,90.0,0.0,7428,7488
75,4.0,135.0,0.0,7518,7578
76,1.0,45.0,0.0,7609,7668
77,8.0,270.0,0.0,7699,7759
78,4.0,270.0,0.0,7789,7849
79,4.0,90.0,0.0,7879,7939
80,15.0,315.0,0.0,7970,8030
81,15.0,0.0,0.0,8060,8120
82,15.0,45.0,0.0,8150,8210
83,1.0,225.0,0.0,8241,8300
84,4.0,315.0,0.0,8331,8391
85,4.0,135.0,0.0,8421,8481
86,1.0,45.0,0.0,8512,8571
87,1.0,45.0,0.0,8602,8662
88,4.0,0.0,0.0,8692,8752
89,8.0,225.0,0.0,8783,8842
90,8.0,225.0,0.0,8873,8933
91,15.0,225.0,0.0,8963,9023
92,2.0,180.0,0.0,9054,9113
93,8.0,90.0,0.0,9144,9204
94,15.0,90.0,0.0,9234,9294
95,8.0,180.0,0.0,9325,9384
96,8.0,45.0,0.0,9415,9475
97,2.0,315.0,0.0,9505,9565
98,1.0,315.0,0.0,9596,9655
99,,,1.0,9686,9746
100,15.0,270.0,0.0,9776,9836
101,8.0,0.0,0.0,9866,9926
102,15.0,45.0,0.0,9957,10017
103,2.0,90.0,0.0,10047,10107
104,8.0,135.0,0.0,10137,10197
105,8.0,90.0,0.0,10228,10287
106,4.0,225.0,0.0,10318,10378
107,4.0,225.0,0.0,10408,10468
108,,,1.0,10499,10558
109,2.0,315.0,0.0,10589,10649
110,2.0,225.0,0.0,10679,10739
111,2.0,270.0,0.0,10770,10829
112,,,1.0,10860,10920
113,1.0,45.0,0.0,10950,11010
114,1.0,135.0,0.0,11041,11100
115,1.0,270.0,0.0,11131,11191
116,15.0,225.0,0.0,11221,11281
117,2.0,45.0,0.0,11312,11371
118,1.0,45.0,0.0,11402,11462
119,15.0,0.0,0.0,11492,11552
120,4.0,180.0,0.0,11583,11642
121,15.0,225.0,0.0,11673,11733
122,2.0,0.0,0.0,11763,11823
123,15.0,315.0,0.0,11853,11913
124,8.0,225.0,0.0,11944,12004
125,15.0,225.0,0.0,12034,12094
126,15.0,180.0,0.0,12124,12184
127,2.0,270.0,0.0,12215,12274
128,15.0,135.0,0.0,12305,12365
129,1.0,315.0,0.0,12395,12455
130,8.0,0.0,0.0,12486,12545
131,1.0,225.0,0.0,12576,12636
132,15.0,225.0,0.0,12666,12726
133,1.0,270.0,0.0,12757,12816
134,4.0,225.0,0.0,12847,12907
135,4.0,270.0,0.0,12937,12997
136,2.0,270.0,0.0,13028,13087
137,15.0,135.0,0.0,13118,13178
138,2.0,180.0,0.0,13208,13268
139,4.0,225.0,0.0,13299,13358
140,15.0,270.0,0.0,13389,13449
141,15.0,90.0,0.0,13479,13539
142,8.0,270.0,0.0,13570,13629
143,2.0,135.0,0.0,13660,13720
144,1.0,135.0,0.0,13750,13810
145,4.0,45.0,0.0,13840,13900
146,4.0,225.0,0.0,13931,13990
147,2.0,225.0,0.0,14021,14081
148,1.0,90.0,0.0,14111,14171
149,8.0,315.0,0.0,14202,14261
150,4.0,270.0,0.0,14292,14352
151,8.0,90.0,0.0,14382,14442
